"","text"
1134,"Performance and limitations of steatosis biomarkers in patients with nonalcoholic fatty liver disease."
1135,"BACKGROUND: Several steatosis biomarkers are available with limited independent validation. AIM: To determine diagnostic value and limitations of several steatosis biomarkers using liver biopsy as reference standard in a large cohort of patients with suspected NAFLD. METHODS: Three hundred and twenty-four consecutive liver biopsies were included. Histological steatosis was categorised as none (<5%), mild (5-33%), moderate (33-66%) and severe (>66%). Five steatosis biomarkers were measured: fatty liver index (FLI), NAFLD liver fat score (NAFLD-LFS), hepatic steatosis index (HSI), visceral adiposity index (VAI) and triglyceride x glucose (TyG) index. RESULTS: Steatosis grades prevalence was: none 5%, mild 39%, moderate 30% and severe 27%. Except for VAI, the steatosis biomarkers showed a linear trend across the steatosis grades. However, their correlation with the histological amount of steatosis was only weak-moderate. All steatosis biomarkers had an adequate diagnostic accuracy for the presence of steatosis: AUROCs for FLI, LFS, HSI, VAI and TyG were 0.83, 0.80, 0.81, 0.92 and 0.90. However, their ability to quantify steatosis was poor: none of them distinguished between moderate and severe steatosis and the AUROCs for predicting steatosis >33% were 0.65, 0.72, 0.65, 0.59 and 0.59 for FLI, LFS, HSI, VAI and TyG. Both fibrosis and inflammation significantly confounded the association between steatosis biomarkers and steatosis. The steatosis biomarkers were all correlated with HOMA-IR, independent from histological steatosis. CONCLUSIONS: All five steatosis biomarkers can diagnose steatosis and are correlated with insulin resistance. They are confounded by fibrosis and inflammation, and do not accurately quantify steatosis; this may limit their clinical utility. More research is needed to identify truly independent and quantitative markers of steatosis."
1136,"TRAF6 upregulation in spinal astrocytes maintains neuropathic pain by integrating TNF-alpha and IL-1beta signaling."
1137,"The proinflammatory cytokines TNF- and IL-1 have been strongly implicated in the pathogenesis of neuropathic pain, but the intracellular signaling of these cytokines in glial cells are not fully understood. Tumor necrosis factor receptor associated factor 6 (TRAF6) plays a key role in signal transduction in the TNF receptor superfamily and the interleukin-1 receptor superfamily. In this study, we investigated the role of TRAF6 in neuropathic pain in mice following spinal nerve ligation (SNL). SNL induced persistent TRAF6 upregulation in the spinal cord. Interestingly, TRAF6 was mainly colocalized with the astrocytic marker GFAP on SNL day 10 and partially expressed in microglia on SNL day 3. In cultured astrocytes, TRAF6 was up-regulated after exposure to TNF-alpha or IL-1beta. TNF-alpha or IL-1beta also increased CCL2 expression, which was suppressed by both siRNA and shRNA targeting TRAF6. TRAF6 siRNA treatment also inhibited the phosphorylation of c-Jun N-terminal kinase (JNK) in astrocytes induced by TNF-alpha or IL-1beta. JNK inhibitor D-NKI-1 dose-dependently decreased IL-1-induced CCL2 expression. Moreover, spinal injection of TRAF6 siRNA decreased intrathecal TNF-- or IL-1-induced allodynia and hyperalgesia. Spinal TRAF6 inhibition via TRAF6 siRNA, shRNA lentivirus, or antisense oligodeoxynucleotides partially reversed SNL-induced neuropathic pain and spinal CCL2 expression. Finally, intrathecal injection of TNF-alpha-activated astrocytes induced mechanical allodynia, which was attenuated by pretreatment of astrocytes with TRAF6 siRNA. Taken together, the results suggest that TRAF6, upregulated in spinal cord astrocytes in the late phase after nerve injury, maintains neuropathic pain by integrating TNF- and IL-1 signaling and activating the JNK/CCL2 pathway in astrocytes."
1138,"Placebo use in pain management: the role of medical context, treatment efficacy, and deception in determining placebo acceptability."
1139,"Placebo effects can act as powerful pain relievers. While the ethics of therapeutic placebo use is highly controversial, recent evidence suggests that medical providers frequently utilize placebo treatments, and patients may be open to these interventions under certain contexts. This investigation used a patient-centered approach to answer essential questions about placebo treatment acceptability. People with chronic musculoskeletal pain completed a placebo survey where they: 1) rated their knowledge of placebo and its efficacy for alleviating pain; 2) evaluated the acceptability of a placebo analgesic interventions across several unique medical contexts; and 3) responded to six different patient-physician treatment scenarios to assess the role of deception and placebo effectiveness on mood and provider trust. Results showed that participants had limited knowledge of placebo and it's efficacy for alleviating pain. Placebo acceptability was highly dependent on the context of the intervention, as placebo treatments were considered acceptable when used as complementary/adjunct treatments and when no other established treatments were available. Also, an analgesic placebo response mitigated the negative consequences of deception by improving provider trust and decreasing negative mood. These findings suggest that patients may be rather pragmatic in their appraisals of placebo treatment acceptability and may consider a variety of treatments/contexts as permissible for managing their pain. This is the first study of its kind to quantify perceptions of placebo analgesia knowledge and efficacy among individuals with chronic pain, and to assess the role of different medical contexts in treatment acceptability."
1140,"[Why is it necessary to review the December 15th 2003 circular relative to the transfusion act?]"
1141,"Blood transfusion is currently a delegated medical act in patient care services. Following severe adverse events, hemovigilance now disposes of a dense regulation. Data collection and analysis in the national hemovigilance ""e-FIT"" database allow detection of errors or malfunctions in the transfusion act. Blood transfusion safety depends on the strict respect of processes from the prescription of blood products and required patient immuno-hematology exams to the administration of blood products and follow-up of the patient. In the circular relative to the transfusion act, many steps of the transfusion process, less explicit, can be interpreted differently by health care professionals and thus lead to errors or severe adverse events. Standardization of procedures for the transfusion act and its surveillance would increase their safety and avoid potential risks for the patient."
1142,"[Relevance of safety measures to avoid HTLV transmission by transfusion in 2014.]"
1143,"In high-income countries, the safety of blood transfusion related to viruses has reached a very high level, especially thanks to the implementation of multiple measures aimed at reducing the transfusion risk. The cost-effectiveness of these preventive measures is frequently discussed due to global financial resources, which are more and more limited. Hence, the revision of safety strategies is a key issue, especially when these strategies are redundant, as those implemented to avoid Human T-cell Lymphotropic Virus (HTLV) transmission, which are based on both antibodies screening and leucoreduction of blood products. The residual risk of the transmission of HTLV by transfusion has been recently estimated at 1 in 20 million donations (2010-2012) in France (excluding overseas territories). This estimation did not take into account the leucoreduction, which appears to be a very efficient preventive measure as the virus is strictly intra-cellular. To help decision-making, we have evaluated some parameters related to HTLV blood transmission. Firstly, the probability that an incident occurring during the leucoreduction process affects a HTLV-positive blood donation has been estimated at 1 in 178 million. Estimation of clinical consequences of HTLV-positive transfusions would affect 1 to 2 transfused-patients without leucoreduction, and one recipient every 192 years in case of 10% failures of the filtration method. Obviously, despite a risk, which appears to be controlled, HTLV screening will be disputed as soon as the efficiency of leucoreduction to totally prevent virus blood transmission will be proven and when pathogen inactivation methods are generalized to all blood cellular products."
1144,"OVOL2 is a critical regulator of ER71 in generating FLK1+ cells, hematopoietic and endothelial cells from embryonic stem cells."
1145,"We here report that OVOL2, a C2H2 zinc finger protein, is a novel binding protein of ER71 which is a critical transcription factor for blood and vessel development. OVOL2 directly interacted with ER71, but not with ETS1 or ETS2, in the nucleus. ER71-mediated activation of the Flk1 promoter was further enhanced by OVOL2, although OVOL2 alone failed to activate it. Consistently, co-expression of ER71 and OVOL2 in differentiating embryonic stem cells (ESCs) led to a significant augmentation of FLK1+, endothelial and hematopoietic cells. Such cooperative effects were impaired by the shRNA-mediated inhibition of Ovol2. Collectively, we show that ER71 directly interacts with OVOL2 and that such interaction is critical for FLK1+ cell generation and their differentiation into downstream cell lineages."
1146,"FOXP1 directly represses transcription of pro-apoptotic genes and cooperates with NF-kappaB to promote survival of human B-cells."
1147,"The forkhead transcription factor FOXP1 is involved in B-cell development and function, and is generally regarded as an oncogene in activated B cell-like (ABC) subtype of diffuse large B cell lymphoma (DLBCL) and mucosa-associated lymphoid tissue (MALT) lymphoma, lymphomas relying on constitutive NF-kappaB activity for survival. However, the mechanism underlying its putative oncogenic activity has not been established. By gene expression microarray, upon overexpression or silencing of FOXP1 in primary human B-cells and DLBCL cell-lines, combined with chromatin-immunoprecipitation followed by next-generation sequencing (ChIP-seq), we established that FOXP1 directly represses a set of 7 pro-apoptotic genes. Low expression of these genes, encoding the BH3-only proteins BIK and Harakiri, the p53-regulatory proteins TP63, RASSF6 and TP53INP1, AIM2 and EAF2, is associated with poor survival in DLBCL patients. In line with these findings, we demonstrated that FOXP1 promotes the expansion of primary mature human B-cells by inhibiting caspase-dependent apoptosis, without affecting B-cell proliferation. Furthermore, FOXP1 is dependent upon, and cooperates with, NF-kappaB signaling to promote B-cell expansion and survival. Taken together, our data indicate that, through direct repression of pro-apoptotic genes, (aberrant) expression of FOXP1 complements (constitutive) NF-kappaB activity to promote B-cell survival, and can thereby contribute to B-cell homeostasis and lymphomagenesis."
1148,"[Infant rhabdoid tumors: A diagnostic emergency.]"
1149,"Rhabdoid tumors are a heterogeneous family of aggressive tumors affecting young children. Their grouping within a single entity is recent, following the discovery of a bi-allelic inactivation of the hSNF5/INI1 tumor suppressor gene in tumoral cells. This bi-allelic inactivation of the hSNF5/INI1 gene found at the constitutional level in up to one-third of cases has led to the identification of a predisposal syndrome to rhabdoid tumors. Herein we report extrarenal rhabdoid tumors observed in three infants between 3 and 6months of age, underlining the misleading feature of the clinical presentation and the aggressiveness of the disease. Finally, we also report the genetic patient care management strategy."
1150,"[Setting-up an epidemiological monitoring system of mortality by trauma in children under 15 years of age in metropolitan France.]"
1151,"In metropolitan France in 2009, trauma was the leading cause of death among children under 15 years of age: 459 deaths (source CepiDc), with 236 deaths by home and leisure injuries (HLI). These rough mortality data do not describe the circumstances of the trauma responsible for the death. The ""Fatal home and leisure injury among children under 15 years old-MAC-15"" feasibility study was set up in 2009 in France in the following regions: Ile-de-France, Nord-Pas-de-Calais, and Provence-Alpes-Cote d'Azur. The main objective of the survey was to understand exactly how these accidents occurred and determine their risk factors. Its secondary objectives were to test the feasibility and analyze the possibility of extending and/or scaling up the monitoring of these deaths. Case reporting was made through death certificates, contacts with regional health agencies, and media surveillance. A detailed record was completed by the medical certifier. In 2009, 76 HLI-related deaths in under 15-year-old children were identified by the survey in the three regions. The victims were mostly boys. The most common cause of death was drowning, followed by suffocation, falls, and fires. The survey contributed to precisely determining the risk factors of HLIs in children and, most often, to identifying the cause responsible for the fatal accident. The feasibility conclusions of this survey are positive, data collection is effective and practicable, and its quality and exhaustiveness were demonstrated. Implementation of the ""detailed analyses of the deaths by trauma among children under 15 years old"" survey is proposed. This survey will be extended to all deaths by trauma among children in Metropolitan France."
1152,"Variability of Criteria for Pasteurized Donor Human Milk Use: A Survey of U.S. Neonatal ICU Medical Directors."
1153,"Background: Use of donor human milk (DHM) is increasing, but criteria for its use are not well defined. Materials and Methods: We conducted a 34-question Internet-based survey of medical directors of U.S. level 3 and level 4 neonatal intensive care units (NICUs), with the goal of describing specifics of policies developed to guide DHM use in U.S. NICUs. Respondents reported NICU characteristics and details of policies concerning DHM use. Policy-specified criteria for DHM use, if any, were described. Bivariate and multivariate analyses were used to identify NICU characteristics associated with DHM use. Results: Respondents returned 153 (33%) surveys, with use of DHM reported by 91 (59%). Donor human milk use was more likely with more than 100 annual admissions <1500 g at birth (odds ratio [OR], 2.2; 95% confidence interval [CI], 1.1-4.7) and with Vermont-Oxford Network participants (OR, 4.6; 95% CI, 1.8-11.6). Among 72 NICUs reporting a written policy, criteria for providing DHM required birth weights varying from <1000 to <1800 g and/or gestational ages from <28 to <34 completed weeks, but criteria were reportedly waived in many circumstances. Policies regarding duration of DHM therapy were similarly varied. Conclusions: Criteria for initiating and continuing DHM vary widely among U.S. level 3 and level 4 NICUs. Donor human milk use is more frequent in NICUs with many very low-birth-weight admissions and among Vermont-Oxford Network participants. Further research is needed to define short- and long-term outcomes and cost benefits of DHM use in subgroups of NICU patients, particularly for uses other than necrotizing enterocolitis prevention."
1154,"Prevalence of and risk factors for the occurrence of symptomatic osteoarthritis in rural regions of Shanxi Province, China."
1155,"AIM: To determine the prevalence of symptomatic osteoarthritis (OA) in rural regions of Shanxi Province, China, and to identify factors increasing the prevalence of OA. METHOD: Residents over 16 years of age of targeted towns and villages in rural regions of Shanxi Province were sampled using a stratified multi-stage cluster method. Those exhibiting symptoms of rheumatism were referred to rheumatologists and those in whom rheumatism was suspected were X-rayed within 10 days of interview. OA was diagnosed by consensus (two or three rheumatologists). Factors associated with the presence of OA were identified. RESULTS: A total of 7126 permanent residents were surveyed and 1734 (24.3%) had OA. Knee OA was the most prevalent form of OA (13.8%), followed by lumbar (7.4%), cervical (3.4%), hand (3.3%), shoulder (3.0%), elbow (2.9%), ankle (0.7%), hip (0.6%), wrist (0.5%), thoracic (0.5%) and foot OA (0.5%). All of knee, ankle, shoulder and hand OA exhibited a gender bias. Advanced age, a sweet tooth, poor home ventilation, poor home heating, separation, divorce, or death of a partner, low-grade occupation, low educational level, high body mass index and the presence of concomitant cardiovascular disease, were associated with the presence of OA. CONCLUSION: Symptomatic OA is very prevalent in rural regions of Shanxi Province. Many factors increase the prevalence of the condition. Primary and secondary prevention programs seeking to improve living conditions, to reduce obesity, and to effectively treat concomitant cardiovascular disease, are required."
1156,"Distinct and redundant roles of exonucleases in cryptococcusneoformans: Implications for virulence and mating."
1157,"Opportunistic pathogens like Cryptococcus neoformans are constantly exposed to changing environments, in their natural habitat as well as when encountering a human host. This requires a coordinated program to regulate gene expression that can act at the levels of mRNA synthesis and also mRNA degradation. Here, we find that deletion of the gene encoding the major cytoplasmic 5'-->3' exonuclease Xrn1p in C. neoformans has important consequences for virulence associated phenotypes such as growth at 37 degrees C, capsule and melanin. In an invertebrate model of cryptococcosis the alteration of these virulence properties corresponds to avirulence of the xrn1Delta mutant strains. Additionally, deletion of XRN1 impairs uni- and bisexual mating. On a molecular level, the absence of XRN1 is associated with the upregulation of other major exonuclease encoding genes (i.e. XRN2 and RRP44). Using inducible alleles of RRP44 and XRN2, we show that artificial overexpression of these genes alters LAC1 gene expression and mating. Our data thus suggest the existence of a complex interdependent regulation of exonuclease encoding genes that impact upon virulence and mating in C. neoformans."
1158,"Nationwide linkage analysis in Scotland-Has mortality following hospital admission for Crohn's disease changed in the early 21st century?"
1159,"BACKGROUND: National Scottish data were used to compare 3-year mortality in patients hospitalized for Crohn's disease (CD) between 1998-2000 and 2007-2009. METHODS: The linked Scottish Morbidity Records database was used to identify patients admitted with CD during two periods: Period 1 (1998-2000) and Period 2 (2007-2009). 3-year mortality and standardized mortality ratio (SMR) were determined and multivariable logistic regression analysis of associated factors was performed. Mortality was determined following four admission types: surgery-elective, surgery-emergency, medical-elective and medical-emergency. 3-year mortality was compared between study periods using age-standardized rates. RESULTS: The number of patients per 100,000 population hospitalized with CD per year was unchanged (15.7 [Period 1]; 14.4 [Period 2]). Overall crude and adjusted 3-year mortality rates were also unchanged (crude mortality 9.0%-9.1%, adjusted mortality odds ratio [OR]=0.87, 95% confidence interval [CI] 0.65-1.17; p=0.36). The adjusted 3-year mortality increased following elective surgery (Period 1: 1/303 [0.3%]; Period 2: 9/261 [3.4%]); OR=13.5 [CI 1.66-109.99]) and decreased following emergency medical admission (Period 1: 99/779 [12.7%]; Period 2:86/802 [10.7%]; OR=0.68 [CI 0.47-0.97]). Directly age-standardized mortality rates were similar (Period 1:338/10,000 person years [CI 282-394]; Period 2:333/10,000 person years [CI 276-390], p=0.2). On multivariable regression, age, deprivation status, comorbidity and the length of hospital stay were associated with mortality in both periods. High 3-year mortality was observed during both periods in patients between 50 and 64years (Period 1: 33/298 [11.1%, SMR=4.8 [CI 3.44-6.63], Period 2: 33/296 [11.1%, SMR=5.9 [4.14-8.22]) and over 65years(Period 1: 94/275 [34.2%, SMR=2.78 [CI 2.42-3.62], Period 2: 78/251 [31.1%, SMR=3.31 [2.64-4.11]). CONCLUSION: Nationwide linkage data demonstrate that overall 3-year mortality after hospitalization for CD is high, especially in patients over 50years, and has not altered between the time periods 1998-2000 and 2007-2009."
1160,"Systematic review: Histological remission in inflammatory bowel disease. Is 'complete' remission the new treatment paradigm? An IOIBD initiative."
1161,"BACKGROUND AND AIMS: Advances in the medical management of inflammatory bowel disease (IBD) have altered treatment targets. Endoscopic mucosal healing is associated with better outcomes in IBD, though less is known about the significance of achieving histological remission. Our aim was to perform a systematic review to investigate whether histological or 'complete' remission constitutes a further therapeutic target in IBD. METHODS: A bibliographic search was performed on the 1st of October 2013 and subsequently on the 1st of March 2014 of online databases (OVID SP MEDLINE, OVID EMBASE, National Pubmed Central Medline, Cochrane Library, ISI, conference abstracts), using MeSH terms and key words: (""inflammatory bowel diseases"" OR ""crohn disease"" OR ""ulcerative colitis"" OR ""colitis"") AND (""mucosal healing"" OR ""histological healing"" OR ""pathological healing"" OR ""histological scoring"" OR ""pathological scoring""). RESULTS: The search returned 2951 articles. 120 articles were cited in the final analysis. There is no validated definition of histological remission in IBD. There are 22 different histological scoring systems for IBD, none of which are fully validated. Microscopic inflammation persists in 16-100% of cases of endoscopically quiescent disease. There is evidence that histological remission may predict risk of complications in ulcerative colitis beyond endoscopic mucosal healing, though data are scarce in Crohn's disease. CONCLUSIONS: Histological remission in IBD represents a target distinct from endoscopic mucosal healing, not yet routinely sought in clinical trials or practice. There remains a need for a standardized and validated histological scoring system and to confirm the prognostic value of histological remission as a treatment target in IBD."
1162,"A population-based study of the resource utilization and costs of managing resectable non-small cell lung cancer."
1163,"OBJECTIVES: Surgical resection and adjuvant chemotherapy have become standard of care for treating resectable early stage non-small cell lung cancer (NSCLC). The purpose was to describe and compare the overall and regional resource utilization and costs of resected NSCLC treated with and without adjuvant chemotherapy. MATERIALS & METHODS: A population-based retrospective cohort study of resected NSCLC patients, diagnosed between 2004 and 2006 (representing the cohort immediately affected by the change in clinical practice) was performed using administrative data. Patients were followed for four years from the date of surgery. The healthcare system perspective was used, and cost estimates (2012 US$) were derived from administrative data and the literature. RESULTS: 3354 patients were included. The average cost per patient treated with surgery and adjuvant chemotherapy was $37,860.88 and was significantly higher than the average cost per patient treated with surgery alone $32,221.45 (p<0.0001). Among regions, the costs of patients treated with surgery and chemotherapy ($32,672-$45,453) and the costs of those treated with surgery alone ($28,679-$36,845) varied significantly (p<0.0001). Rates of chemotherapy, the proportion of patients who received any imaging scans, hospitalizations, specialist visits, emergency room visits, mean number of imaging scans, general physician visits, and blood transfusions all varied significantly among geographic regions. CONCLUSIONS: This population-based study demonstrates an average cost per patient similar to that shown in randomized controlled trials; however, costs for either treatment approach varied by geographic region. Understanding the regional variation in costs and resource utilization is important with respect to delivering optimal treatment in a cost-effective strategy."
1164,"Metformin decreases lung cancer risk in diabetic patients in a dose-dependent manner."
1165,"OBJECTIVES: Higher risk of lung cancer has been noted in patients with type 2 diabetes mellitus (DM). Some observational studies have shown a reduced risk of lung cancer in DM patients taking metformin, but a dose-response relationship has never been reported. The aim of this study is to exam the association between the dose of metformin and the incidence of lung cancer in a Chinese population. MATERIALS AND METHODS: The dataset used for this nationwide population-based study is a cohort of 1 million subjects randomly sampled from individuals enrolled in the Taiwan National Health Insurance system. We enrolled all subjects with newly diagnosed type 2 DM between 1997 and 2007. Subjects with a diagnosis of neoplasm before DM diagnosis, those using metformin before DM diagnosis, those with polycystic ovary syndrome, and those with a DM diagnosis before their 15 years of age were excluded. The demographic data and duration, cumulative dose and intensity of metformin use were compared between patients developing lung cancer and those without lung cancer. RESULTS: Totally, 47,356 subjects were identified. After adjusting for age, gender, and modified Charlson Comorbidity Index score, the utilization of metformin was an independent protecting factor, and the risk of developing lung cancer decreased progressively with either the higher cumulative dose or the higher intensity of metformin use. CONCLUSIONS: This study revealed that the use of metformin decreased the risk of lung cancer in a dose-dependent manner in patients with type 2 DM. The chemo-preventive effect of metformin deserves further study."
1166,"Cumulative live birth rate after two single frozen embryo transfers (eSFET) versus a double frozen embryo transfer (DFET) with cleavage stage embryos: a retrospective cohort study."
1167,"PURPOSE: According to the latest ART report for Europe, about 13 % of pregnancies after frozen embryo transfer are multiple. Our objective was to analyse the impact on the multiple pregnancy rate of two eSFET (elective single frozen embryo transfers) versus a DFET (double frozen embryo transfer) in women aged under 38 years, who had not achieved pregnancy in their fresh transfer and who had at least two vitrified embryos of A/B quality. METHODS: This study was conducted from January 2010 to June 2013 at a public hospital. The couples were divided into three groups. Group DFET: the first cryotransfer of two embryos (105 women); cSFET group: the only cryotransfer of a single vitrified embryo (60 women); eSFET group, individually vitrified embryos: 20 patients included in a clinical trial of single-embryo fresh and frozen transfer and 21 patients who chose to receive eSFET. RESULTS: The clinical pregnancy rate was 38.1 % in the DET group and the cumulative clinical pregnancy rate was 43.3 % in the eSFET group. There were no significant differences between the DFET and eSFET groups (30.0 vs 34.1 %) in cumulative live birth delivery rate. The rate of multiple pregnancies varied significantly between the DFET and eSFET groups (32.5 vs 0 %, p < 0.05). CONCLUSIONS: For good-prognosis women aged under 38 years, taking embryo quality as a criterion for inclusion, an eSFET policy can be applied, achieving acceptable cumulative clinical pregnancy and live birth rates and reducing multiple pregnancy rates."
1168,"Research of dose-effect relationship parameters of percutaneous microwave ablation for uterine leiomyomas - a quantitative study."
1169,"Eighty eight patients with 91 uterine leiomyomas who underwent ultrasound-guided percutaneous microwave ablation (PMWA) treatment were prospectively included in the study in order to study the dose-effect relationship parameters (DERP) of PMWA for uterine leiomyomas and its relationship with T2-weighted MR imaging (T2WI). Based on the signal intensity of T2WI, uterine leiomyomas were classified as hypointense, isointense, and hyperintense. During ablation, leiomyomas were treated with quantitative microwave ablation (QMWA) energy of 50 w x 300 s or 60 w x 300 s. After QMWA, contrast-enhanced ultrasound (CEUS) was performed to evaluate DERP. No matter under 50 w x 300 s or 60 w x 300 s, quantitative microwave ablation volume (QMAV) of hyperintense leiomyoma was smaller than that of hypointense and isointense leiomyoma (P<0.016). For hypointense and isointense leiomyoma, QMAV of 60 w x 300 s was larger than that of 50 w x 300 s (P<0.05). DERPs obtained by T2WI can be used to guide the treatment of uterine leiomyoma by PMWA."
1170,"Immunogenicity and safety of Advax, a novel polysaccharide adjuvant based on delta inulin, when formulated with hepatitis B surface antigen: A randomized controlled Phase 1 study."
1171,"There is a need for additional safe and effective human vaccine adjuvants. Advax is a novel adjuvant produced from semi-crystalline particles of delta inulin. In animal studies Advax enhanced humoral and cellular immunity to hepatitis B surface antigen (HBsAg) without inducing local or systemic reactogenicity. This first-in-man Phase 1 clinical trial tested the safety and tolerability of three intramuscular doses of HBsAg formulated with Advax in a group of healthy adult subjects. Advax was well tolerated with injection site pain scores not significantly different to subjects receiving HBsAg alone and no adverse events were reported in subjects that received Advax. Seroprotection and HBsAb geometric mean titers (GMT) after three immunizations were higher in the Advax 5mg (seroprotection 5/6, 83.3%, GMT 40.7, 95% CI 11.9-139.1) and 10mg (seroprotection 4/5, 80%, GMT 51.6, 95% CI 10.0-266.2) groups versus HBsAg alone (seroprotection 1/5, 20%, GMT 4.1, 95% CI 1.3-12.8). Similarly the proportion of subjects with positive CD4 T-cell responses to HBsAg was higher in the Advax 5mg (4/6, 67%) and Advax 10mg (4/5, 80%) groups versus HBsAg alone (1/5, 20%). These results confirm the safety, tolerability and immunogenicity of Advax adjuvant observed in preclinical studies. Advax may represent a suitable replacement for alum adjuvants in prophylactic human vaccines subject to confirmation of current results in larger studies. Australia and New Zealand Clinical Trial Registry: ACTRN12607000598482."
1172,"Pycnodysostosis: review and case report."
1173,"AIM: Aim of the present study was to present a case report of a patient suffering from pycnodysostosis and assess how it may manifest and affect the dental/ orthodontic treatment. METHODS: An 11-year-old patient who was diagnosed with pycnodysostosis at the age of 18 months, attended the orthodontics department requiring treatment for extensive carious lesions, periodontal disease and severe crowding. RESULTS: After an accurate radiographic, clinical and orthodontic assessment of the patient taking into consideration the severity of the condition and the patient's necessities, we have formulated a treatment plan, which was accepted by both the patient and parents. We took into consideration the risks and benefits of the options available and the requests of the patient. CONCLUSION: We have decided to opt for the extraction of teeth to relieve the crowding as this was impeding good oral hygiene and hence increasing the risk of caries and periodontal disease. Such patients must be placed under an oral hygiene prevention scheme, a treatment plan must be accurately designed and the patient must be constantly motivated."
1174,"Effect of dentin powder on setting time of mineral trioxide aggregate: an in vitro study."
1175,"AIM: Mineral trioxide aggregate (MTA) is a biomaterial with numerous clinical applications in the field of endodontics. The properties of this material come closest to the requirements of an ideal endodontic repair material. Delayed setting time though may limit the use of MTA in endodontic procedures. Many chemical based additives have influenced the setting time of MTA. The aim of this paper was to evaluate the effect of a natural additive in the form of human dentin powder on setting properties of ProRoot MTA (Dentsply/Tulsa Dental, Tulsa, OK). METHODS: Thirty extracted human teeth were taken to obtain fine dentin powder. The methodology used to obtain dentin powder for the present study was same as performed by Haapsalo et al. The specimens were divided into two groups. The samples were placed in standardized stainless steel ring moulds. The setting time of MTA alone and in equal proportions with dentin powder as an additive was evaluated using Vicats apparatus. RESULTS: MTA mixed with dentin powder showed faster setting time (70 minutes) in comparison to MTA without dentin powder (120 minutes) (P<0.5). CONCLUSION: Although MTA is an ideal retrograde material with increased efficacy due to reduced setting on addition of dentin powder. A combination of MTA with dentin powder might be a viable option in procedures where fast setting of the MTA is critical."
1176,"A sudden death on clinical placement: A student's perspective of nurse grief."
1177,"Abstract This paper explores the reflections of a student nurse upon hearing of the sudden death of a patient she had cared for the previous night on clinical placement. Her journey, and those of colleagues she has observed, prompted this paper's discussion of nurse grief, the support mechanisms available and those preferred by nurses, and the potential outcomes if grief is not acknowledged, supported, and managed. Disenfranchised grief is a major factor in the development of prolonged and cumulative grief responses and negative outcomes for nurses, patients, and the collective nursing profession, however the establishment and utilisation of informal support networks has been found to encourage a discussion of feelings and lead to a healthy resolution of nurse grief."
1178,"Congestive heart failure: Predictors of health-related quality of life in Iranian women."
1179,"Abstract Background and Objectives: Identify the factors affecting quality of life (QOL) is one of the major goals for improving the Health-Related Quality of Life (HR-QOL) in patients suffering from Congestive Heart Failure (CHF). Considering the fact that there are few published studies in this regard in Iran, as a developing country, this research was designed to determine the HR-QOL in Iranian CHF patients and its related factors. METHODS AND MATERIALS: In this cross-sectional study, random sampling was used to select 1840 female CHF patients. After obtaining informed consent, patients' demographic and disease-related data (using a researcher-made questionnaire which assessed eight dimensions including role-physical, physical functioning, bodily pain, general health, vitality, role-emotional, social functioning and mental health), and the HR-QOL data (using the SF-36 questionnaire) were assessed and analyzed with SPSS version 15. RESULTS: A high proportion of the participants had an unfavorable HR-QOL in physical functioning (44.56%), role-physical (49.55%), role-emotional (59.83%), mental health (54.50%), and general health (53.36%) dimensions and a relatively favorable HR-QOL in social functioning (50.57%), vitality (49.26%), and body pain dimensions (52.55%). A significant relationship was found between the HR-QOL and the employment status, level of education, being cared for at home, functional capacity, disease duration, frequency of medical encounter and hospitalization, duration of hypertension and concurrent CHF, presence of edema, presence of disease symptoms and morbidities, intensity of fatigue at the study time and previous months, and the type of medications. CONCLUSION: According to the results, QOL in CHF patients was unfavorable in the scales of general health, role-emotional, and mental health."
1180,"Hearing, listening, action: Enhancing nursing practice through aural awareness education."
1181,"Abstract Noise overload within the clinical environment has been found to interfere with the healing process for patients, as well as nurses' ability to assess patients effectively. Awareness and responsibility for noise production begins during initial nursing training and consequently a program to enhance aural awareness skills was designed for graduate entry nursing students in an Australian university. The program utilized an innovative combination of music education activities to develop the students' ability to distinguishing individual sounds (hearing), appreciate patients' experience of sounds (listening) and improve their auscultation skills and reduce the negative effects of noise on patients (action). Using a mixed methods approach, students reported heightened auscultation skills and greater recognition of both patients' and clinicians' aural overload. Results of this pilot suggest that music education activities can assist nursing students to develop their aural awareness and to action changes within the clinical environment to improve the patient's experience of noise."
1182,"Investigating the effects of a family-centered care program on stroke patients' adherence to their therapeutic regimens."
