許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,醫療器材級數,通關簽審文件編號,中文品名,英文品名,醫器主類別一,醫器次類別一,限制項目,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠國別,異動日期,效能,製程,製造廠公司地址,劑型,包裝
衛署醫器輸字第018934號,,,,2018-01-22,2008-01-22,醫　器,2,DHA00601893407,“西門子”直接膽紅素試劑,"ADVIA Chemistry Direct Bilirubin_2","A 臨床化學及臨床毒理學","A1110 膽紅素(總量或直接的)試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"RANDOX LABORATORIES LIMITED","55 DIAMOND ROAD, CRUMLIN, CO. ANTRIM, BT29 4QY, UNITED KINGDOM","UNITED KINGDOM",2014-04-11,為體外診斷使用在西門子全自動化學系統上定量測定人類血清及血漿中的直接膽紅素濃度。,,,,
衛署醫器輸字第018934號,,,,2018-01-22,2008-01-22,醫　器,2,DHA00601893407,“西門子”直接膽紅素試劑,"ADVIA Chemistry Direct Bilirubin_2","A 臨床化學及臨床毒理學","A1110 膽紅素(總量或直接的)試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","511 BENEDICT AVENUE, TARRYTOWN, NY 10591, USA","UNITED STATES",2014-04-11,為體外診斷使用在西門子全自動化學系統上定量測定人類血清及血漿中的直接膽紅素濃度。,委託製造者,,,
衛署醫器輸字第018935號,,,,2018-01-22,2008-01-22,醫　器,2,DHA00601893509,"“西門子”免疫球蛋白 G_2試劑組","ADVIA Chemistry Immunoglobulin G_2 Reagents","C 免疫學及微生物學裝置","C5510 免疫球蛋白A，G，M，D及E免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"RANDOX LABORATORIES LIMITED","55 DIAMOND ROAD, CRUMLIN, CO. ANTRIM, BT29 4QY, UNITED KINGDOM","UNITED KINGDOM",2014-04-11,"用於體外診斷。在ADVIA全自動化學分析系統上，對人類血清和血漿中的免疫球蛋白G (IgG) 進行定量測定。",,,,
衛署醫器輸字第018935號,,,,2018-01-22,2008-01-22,醫　器,2,DHA00601893509,"“西門子”免疫球蛋白 G_2試劑組","ADVIA Chemistry Immunoglobulin G_2 Reagents","C 免疫學及微生物學裝置","C5510 免疫球蛋白A，G，M，D及E免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","511 BENEDICT AVENUE, TARRYTOWN, NY 10591, USA","UNITED STATES",2014-04-11,"用於體外診斷。在ADVIA全自動化學分析系統上，對人類血清和血漿中的免疫球蛋白G (IgG) 進行定量測定。",委託製造者,,,
衛署醫器輸壹字第004753號,已註銷,2012-11-27,許可證已逾有效期,2011-06-20,2006-06-20,醫　器,1,DHA04400475300,"“雅思”牙科手用器械  (滅菌)","“ACE”Dental Hand Instrument (Sterile)","F 牙科裝置","F4565 牙科手用器械","輸　入 ;;GMP",茂傑產業股份有限公司,新北市三重區光復路一段70號5樓,22158378,"ACE SURGICAL SUPPLY COMPANY, INC.","1034 PEARL STREET ,BROCKTON, MASSACHUSETTS 02301, USA","UNITED STATES",2012-11-28,,,,,
衛署醫器輸字第018936號,,,,2018-01-22,2008-01-22,醫　器,2,DHA00601893601,"肯定量 尿液品管液 濃度 1 及 2","qUAntify Plus Control, Levels 1 and 2","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",美商伯瑞股份有限公司台灣分公司,台北市松山區南京東路4段126號14樓,70783391,"BIO-RAD LABORATORIES","9500 JERONIMO ROAD, IRVINE, CA 92618, USA","UNITED STATES",2012-11-01,"肯定量尿液品管液是預定用以監控實驗室測試步驟之精確度的一種已知濃度的品管物質, 可針對包裝中所附的表列分析物監控。",,,,
衛署醫器輸字第018937號,,,,2018-01-23,2008-01-23,醫　器,2,DHA00601893700,“西門子”免疫球蛋白M_2試劑組,"ADIVA Chemistry Immunoglobulin M_2 Reagents","C 免疫學及微生物學裝置","C5510 免疫球蛋白A，G，M，D及E免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"RANDOX LABORATORIES LIMITED","55 DIAMOND ROAD, CRUMLIN, CO. ANTRIM, BT29 4QY, UNITED KINGDOM","UNITED KINGDOM",2014-04-11,"在ADVIA全自動化學分析系統上，對人類血清和血漿中的免疫球蛋白 M (IgM) 進行定量測定。",,,,
衛署醫器輸字第018942號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601894206,“西門子”補體C4試劑組,"ADVIA Chemistry Complement C4 Reagents","C 免疫學及微生物學裝置","C5240 補體成份免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"RANDOX LABORATORIES LIMITED","55 DIAMOND ROAD, CRUMLIN, CO. ANTRIM, BT29 4QY, UNITED KINGDOM","UNITED KINGDOM",2014-04-11,在ADVIA全自動化學分析系統上，對人類血清中的補體C4進行定量測定。,,,,
衛署醫器輸字第018937號,,,,2018-01-23,2008-01-23,醫　器,2,DHA00601893700,“西門子”免疫球蛋白M_2試劑組,"ADIVA Chemistry Immunoglobulin M_2 Reagents","C 免疫學及微生物學裝置","C5510 免疫球蛋白A，G，M，D及E免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","511 BENEDICT AVENUE, TARRYTOWN, NY 10591, USA","UNITED STATES",2014-04-11,"在ADVIA全自動化學分析系統上，對人類血清和血漿中的免疫球蛋白 M (IgM) 進行定量測定。",委託製造者,,,
衛署醫器輸字第018938號,,,,2018-01-23,2008-01-23,醫　器,2,DHA00601893802,"立可測 高值C-反應蛋白品管液 濃度1, 2 及 3","Liquichek TM Elevated CRP Control Level 1, 2 and 3","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",美商伯瑞股份有限公司台灣分公司,台北市松山區南京東路4段126號14樓,70783391,"BIO-RAD LABORATORIES","9500 JERONIMO ROAD, IRVINE, CA 92618, USA","UNITED STATES",2012-10-02,立可測高值C-反應白品管液是預定用以監控實驗室測試c-反應蛋白步驟之精確度的一種已知濃度的品管物質。,,,,
衛署醫器輸字第018939號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601893904,“西門子”運鐵蛋白試劑組,"ADVIA Chemistry Transferrin Reagents","C 免疫學及微生物學裝置","C5880 運鐵蛋白免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"RANDOX LABORATORIES LIMITED","55 DIAMOND ROAD, CRUMLIN, CO. ANTRIM, BT29 4QY, UNITED KINGDOM","UNITED KINGDOM",2014-04-11,"在ADVIA 全自動化學分析系統上，對人類血清和血漿中的運鐵蛋白進行定量測定。",,,,
衛署醫器輸字第018939號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601893904,“西門子”運鐵蛋白試劑組,"ADVIA Chemistry Transferrin Reagents","C 免疫學及微生物學裝置","C5880 運鐵蛋白免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","511 BENEDICT AVENUE, TARRYTOWN, NY 10591, USA","UNITED STATES",2014-04-11,"在ADVIA 全自動化學分析系統上，對人類血清和血漿中的運鐵蛋白進行定量測定。",委託製造者,,,
衛署醫器輸字第018940號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601894002,“西門子”尿素氮試劑組,"ADVIA Chemistry Urea Nitrogen Reagents","A 臨床化學及臨床毒理學","A1770 尿素氮試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"RANDOX LABORATORIES LIMITED","55 DIAMOND ROAD, CRUMLIN, CO. ANTRIM, BT29 4QY, UNITED KINGDOM","UNITED KINGDOM",2014-04-11,在ADVIA全自動化學分析系統上，對人類血清、血漿和尿液中的尿素氮進行定量測定。,,,,
衛署醫器輸字第018940號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601894002,“西門子”尿素氮試劑組,"ADVIA Chemistry Urea Nitrogen Reagents","A 臨床化學及臨床毒理學","A1770 尿素氮試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","511 BENEDICT AVENUE, TARRYTOWN, NY 10591, USA","UNITED STATES",2014-04-11,在ADVIA全自動化學分析系統上，對人類血清、血漿和尿液中的尿素氮進行定量測定。,委託製造者,,,
衛署醫器輸字第018941號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601894104,“西門子”Alpha-1-抗胰蛋白試劑組,"ADVIA Chemistry Alpha-l-Antitrypsin Reagents","C 免疫學及微生物學裝置","C5130 α-1-抗胰蛋白免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"RANDOX LABORATORIES LIMITED","55 DIAMOND ROAD, CRUMLIN, CO. ANTRIM, BT29 4QY, UNITED KINGDOM","UNITED KINGDOM",2014-04-11,在ADVIA全自動化學分析系統上，對人類血清和血漿中的alpha-1-抗胰蛋白進行定量測定。,,,,
衛署醫器輸字第018941號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601894104,“西門子”Alpha-1-抗胰蛋白試劑組,"ADVIA Chemistry Alpha-l-Antitrypsin Reagents","C 免疫學及微生物學裝置","C5130 α-1-抗胰蛋白免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","511 BENEDICT AVENUE, TARRYTOWN, NY 10591, USA","UNITED STATES",2014-04-11,在ADVIA全自動化學分析系統上，對人類血清和血漿中的alpha-1-抗胰蛋白進行定量測定。,委託製造者,,,
衛署醫器輸字第018942號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601894206,“西門子”補體C4試劑組,"ADVIA Chemistry Complement C4 Reagents","C 免疫學及微生物學裝置","C5240 補體成份免疫試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","511 BENEDICT AVENUE, TARRYTOWN, NY 10591, USA","UNITED STATES",2014-04-11,在ADVIA全自動化學分析系統上，對人類血清中的補體C4進行定量測定。,委託製造者,,,
衛署醫器輸字第018943號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601894308,“西門子”肌酸激每試劑組,"ADVIA Chemistry Creatine Kinase Reagents","A 臨床化學及臨床毒理學","A1215 肌氨酸磷酸催化?/肌酸激?或同功異構?試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"RANDOX LABORATORIES LIMITED","55 DIAMOND ROAD, CRUMLIN, CO. ANTRIM, BT29 4QY, UNITED KINGDOM","UNITED KINGDOM",2014-04-11,在ADVIA全自動化學分析系統上，對人類血清和血漿中肌酸激每的活性進行定量測定。,,,,
衛署醫器輸字第018943號,,,,2018-01-24,2008-01-24,醫　器,2,DHA00601894308,“西門子”肌酸激每試劑組,"ADVIA Chemistry Creatine Kinase Reagents","A 臨床化學及臨床毒理學","A1215 肌氨酸磷酸催化?/肌酸激?或同功異構?試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","511 BENEDICT AVENUE, TARRYTOWN, NY 10591, USA","UNITED STATES",2014-04-11,在ADVIA全自動化學分析系統上，對人類血清和血漿中肌酸激每的活性進行定量測定。,委託製造者,,,
衛署醫器輸字第018944號,,,,2018-01-28,2008-01-28,醫　器,2,DHA00601894400,"威力安 II 乙型地中海貧血檢驗試劑","VARIANT TM II β Thalassemia Short Program","B 血液學及病理學裝置","B7400 血紅素A2分析","輸　入 ",美商伯瑞股份有限公司台灣分公司,台北市松山區南京東路4段126號14樓,70783391,"BIO-RAD LABORATORIES, INC","4000 ALFRED NOBEL DR. HERCULES, CA 94547, USA","UNITED STATES",2012-10-22,"威力安 II 是全自動的HPLC 系統，可以用來檢測血紅素A2和F的百分比，以及提供判斷不正常的血紅素。",,,,
衛署醫器輸字第018945號,,,,2018-01-28,2008-01-28,醫　器,2,DHA00601894502,"立可測 自體抗核抗體，中心粒型 陽性品管液","Liquichek TM ANA Control, Centromere Pattern, Positive","C 免疫學及微生物學裝置","C5100 抗核抗體免疫試驗系統","輸　入 ",美商伯瑞股份有限公司台灣分公司,台北市松山區南京東路4段126號14樓,70783391,"BIO-RAD LABORATORIES","9500 JERONIMO ROAD, IRVINE, CA 92618, USA","UNITED STATES",2012-10-02,"立可測 自體抗核抗體中心粒型未知濃度陽性品管液，是預定用以監控實驗室中間接免疫螢光法之自體抗核抗體測試的品管物質。",,,,
衛署醫器輸字第018946號,,,,2018-01-28,2008-01-28,醫　器,2,DHA00601894601,"立可測 自體抗核抗體，核仁型 陽性品管液","Liquichek TM ANA Control, Nucleolar Pattern, Positive","C 免疫學及微生物學裝置","C5100 抗核抗體免疫試驗系統","輸　入 ",美商伯瑞股份有限公司台灣分公司,台北市松山區南京東路4段126號14樓,70783391,"BIO-RAD LABORATORIES","9500 JERONIMO ROAD, IRVINE, CA 92618, USA","UNITED STATES",2012-10-02,"立可測 自體抗核抗體核仁型未知濃度陽性品管液，是預定用以監控實驗中間接免疫螢光法之自體抗核抗體測試的品管物質。",,,,
衛署醫器輸字第018947號,,,,2018-01-28,2008-01-28,醫　器,2,DHA00601894703,貝克曼庫爾特協康肌酸酐試劑,"BECKMAN COULTER SYNCHRON Creatinine (CR-S) Reagent","A 臨床化學及臨床毒理學","A1225 肌氨酸酐試驗系統","輸　入 ",美商貝克曼庫爾特有限公司台灣分公司,台北市大安區敦化南路二段216號8樓,09435364,"BECKMAN COULTER INC.","2470 FARADAY AVENUE, CARLSBAD, CA 92008, U.S.A.","UNITED STATES",2012-11-09,定量測定人體血清、血漿或尿液中的肌酸酐濃度。,,,,
衛署醫器輸字第018960號,,,,2018-02-25,2008-02-25,醫　器,3,DHA00601896008,“麥新”親水性線圈栓塞系統,"“MicroVention”HydroCoil Embolic System","K 神經學科用裝置","K5950 人工栓塞裝置","輸　入 ",世新儀器有限公司,台北市松江路２２１巷１９號,07672880,"MICRO VENTION, INC.","1311 VALENCIA AVENUE, TUSTIN, CA92780, USA","UNITED STATES",2013-02-08,詳如中文仿單核定本。,,,,
衛署醫器輸字第018948號,,,,2013-01-28,2008-01-28,醫　器,3,DHA00601894805,“強骨生”牙科補骨材料,“Cerasorb”Granules,"F 牙科裝置","F3930 牙槽骨修復所用的三鈣磷酸鹽","輸　入 ",金稻企業有限公司,台北市大安區忠孝東路三段305號6樓之1,84482044,"CURASAN AG","LINDIGSTRAβE 4 D-63801 KLEINOSTHEIM GERMANY",GERMANY,2014-11-03,可用來填補牙周區兩面或多面骨缺損，或用來填補雙牙根或三牙根間骨缺損。也可用來增加已萎縮齒槽骨寬度。於鼻竇墊高手術可用。拔牙後填補於拔牙窩可保存齒槽骨寬度，也可填補於拔牙窩可增加植牙區牙床骨寬度。也可用來填補其他齒槽骨和內部頭骨的多面骨缺損。,,,,
衛署醫器輸字第018949號,,,,2018-01-29,2008-01-29,醫　器,3,DHA00601894907,“奧爾”傑納斯冠狀動脈血管支架輸送系統,"“Orbus”Genous R Stent","E 心臟血管用裝置",,"輸　入 ",台灣祥豐醫療器材有限公司,台北市中山區民族東路96號3樓,70646398,"ORBUSNEICH MEDICAL B.V.","DRS. W. VAN ROYENSTRAAT 5, 3871 AN HOEVELAKEN, THE NETHERLANDS",NETHERLANDS,2013-01-25,“奧爾”傑納斯冠狀動脈血管支架輸送系統，適用於適合接受球囊血管外科整形術、第一次及/或在狹窄的冠狀動脈病變、有局部貧血性心臟病症狀之病人。“奧爾”傑納斯冠狀動脈血管支架輸送系統，用於治療動脈粥樣硬化症或在狹窄的病變，支架的長度必須長過病變的血管，並且在支架撐開後，支架的直徑和病變的血管直徑符合。,,,,
衛署醫器輸字第018950號,,,,2013-02-01,2008-02-01,醫　器,2,DHA00601895005,羅氏可固全凝血(酉每)原時間檢驗試紙,"Roche CoaguChek XS PT Test","B 血液學及病理學裝置","B7750 前凝血酵素時間試驗","輸　入 ",台灣羅氏醫療診斷設備股份有限公司,台北市中山區民權東路3段2號10樓,23932173,"ROCHE DIAGNOSTICS GMBH","SANDHOFER STRASSE 116 D-68305 MANNHEIM GERMANY",GERMANY,2010-03-19,"使用CoaguChek XS/XS Plus分析儀去定量檢測指尖微血管血或不含抗凝劑的靜脈血中凝血(酉每)原時間(prothrombin time)*所用的試紙。",,,,
衛署醫器輸字第018951號,,,,2018-02-01,2008-02-01,醫　器,2,DHA00601895107,“西門子”總膽紅素試劑,"ADVIA Chemistry Total Bilirubin_2","A 臨床化學及臨床毒理學","A1110 膽紅素(總量或直接的)試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"RANDOX LABORATORIES LTD.","55 DIAMOND ROAD, CRUMLIN, CO. ANTRIM, BT29 4 QY, UNITED KINGDOM ","UNITED KINGDOM",2014-04-11,定量測定人類血清及血漿中的總膽紅素濃度。,,,,
衛署醫器輸字第018951號,,,,2018-02-01,2008-02-01,醫　器,2,DHA00601895107,“西門子”總膽紅素試劑,"ADVIA Chemistry Total Bilirubin_2","A 臨床化學及臨床毒理學","A1110 膽紅素(總量或直接的)試驗系統","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS MEDICAL SOLUTIONS DIAGNOSTICS","511 BENEDICT AVENUE, TARRYTOWN, NY 10591, USA","UNITED STATES",2014-04-11,定量測定人類血清及血漿中的總膽紅素濃度。,,,,
衛署醫器輸字第018952號,,,,2018-02-13,2008-02-13,醫　器,2,DHAS0601895204,“詩干地巴底”副甲狀腺激素放射免疫分析試劑組,"“Scantibodies”Duo PTH Kit","A 臨床化學及臨床毒理學","A1545 副甲狀腺激素試驗系統","輸　入 ;;輸入須附同意書（每次輸入均須取得原子能委員會之同意書為憑）",泰歷藥品儀器股份有限公司,台北市大同區承德路二段81號15樓,30884801,"SCANTIBODIES LABORATORY, INC.","9336 ABRAHAM WAY, SANTEE, CA 92071, U.S.A.","UNITED STATES",2013-02-07,"本產品用以定量檢測人體完整 (Whole PTH) 和總原態副甲狀腺激素 (Total intact PTH) 的含量。",,,,
衛署醫器輸字第018953號,,,,2018-02-14,2008-02-14,醫　器,2,DHA00601895301,史丹斯翠血糖測定儀,"StatStrip Glucose Hospital Meter","A 臨床化學及臨床毒理學","A1345 葡萄糖試驗系統","輸　入 ",杏全實業股份有限公司,台北市大安區瑞安街135巷11號1樓,20828062,"NOVA BIOMEDICAL CORPORATION","200 PROSPECT STREET, WALTHAM, MASSACHUSETTS 02554-9141 USA","UNITED STATES",2014-12-19,由保健專業人士和重點照護（point-of-care）使用，定量全血中的葡萄糖。,,,,
衛署醫器輸字第018954號,,,,2018-02-20,2008-02-20,醫　器,2,DHA00601895400,羅氏總膽紅素第二代檢驗試劑,"cobas BILT2","A 臨床化學及臨床毒理學","A1110 膽紅素(總量或直接的)試驗系統","輸　入 ",台灣羅氏醫療診斷設備股份有限公司,台北市中山區民權東路3段2號10樓,23932173,"ROCHE DIAGNOSTICS GMBH","SANDHOFER STRASSE 116 D-68305 MANNHEIM GERMANY",GERMANY,2012-10-15,"在COBAS INTEGRA 400/400 plus/800系統和Roche/Hitachi cobas c311及c501/502系統上，對人類血清及血漿進行總膽紅素的定量檢測。",,,,
衛署醫器輸字第018955號,,,,2018-02-18,2008-02-18,醫　器,3,DHA00601895502,“歐節樂”關節腔注射液,Ostenil,"N 骨科用裝置",,"輸　入 ",禾伸堂生技股份有限公司,臺北市內湖區內湖路一段88號4樓,12681706,"TRB CHEMEDICA AG","RICHARD-REITZNER-ALLEE 1, D 85540 HAAR/MUNCHEN, GERMANY",GERMANY,2012-12-18,適用於退化性及創傷性所造成膝關節及滑液性關節的疼痛和限制性活動。,,,,
衛署醫器輸字第018956號,,,,2018-02-18,2008-02-18,醫　器,3,DHA00601895604,亞培C型肝炎病毒負荷量檢驗套組,"Abbott RealTime TＭ HCV","B 血液學及病理學裝置","B4020 分析特定試劑","輸　入 ;;委託製造",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT MOLECULAR INC.","1300 EAST TOUHY AVENUE DES PLAINES, IL 60018 USA","UNITED STATES",2014-08-04,"亞培肝炎HCV病毒負荷量檢驗套組為一體外檢驗方法，以反轉錄聚合&#37238;連鎖反應RT-PCR的方式定量感染病患的血清檢體中C型肝炎病毒之核醣核甘酸 (HCV RNA) 。Abbott的設計是用以幫助正在進行抗病毒藥劑治療的HCV患者之追蹤。其檢驗方法非用於提供者之血液、血漿、血清或組織之HCV病毒篩檢或是作為確認HCV感染的診斷依據。",委託製造者,,,
衛署醫器輸字第018956號,,,,2018-02-18,2008-02-18,醫　器,3,DHA00601895604,亞培C型肝炎病毒負荷量檢驗套組,"Abbott RealTime TＭ HCV","B 血液學及病理學裝置","B4020 分析特定試劑","輸　入 ;;委託製造",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT GMBH & CO.KG","MAX-PLANCK-RING 2, 65205 WIESBADEN, GERMANY",GERMANY,2014-08-04,"亞培肝炎HCV病毒負荷量檢驗套組為一體外檢驗方法，以反轉錄聚合&#37238;連鎖反應RT-PCR的方式定量感染病患的血清檢體中C型肝炎病毒之核醣核甘酸 (HCV RNA) 。Abbott的設計是用以幫助正在進行抗病毒藥劑治療的HCV患者之追蹤。其檢驗方法非用於提供者之血液、血漿、血清或組織之HCV病毒篩檢或是作為確認HCV感染的診斷依據。",,,,
衛署醫器輸字第018957號,,,,2013-02-18,2008-02-18,醫　器,2,DHA00601895706,"“儀器實驗室”寶石比米爾 4000 專用卡匣","“Instrumentation Laboratory”GEM Premier 4000 PAK","A 臨床化學及臨床毒理學","A1120 血內氣體(PCO2,PO2)及血液pH值試驗系統","輸　入 ",台灣亞衛有限公司,台北市士林區重慶北路四段253號5樓,84946163,"INSTRUMENTATION LABORATORY CO.,","180 HARTWELL RD. BEDFORD, MA 01730-2443 USA","UNITED STATES",2014-06-11,"用於儀器實驗室(IL)寶石 4000 血液氣體分析儀之感應器及試劑卡匣。",,,,
衛署醫器輸字第018958號,,,,2018-02-22,2008-02-22,醫　器,2,DHA00601895808,"羅氏可霸斯 c 111 鈣生化檢驗試劑","cobas c 111 CA","A 臨床化學及臨床毒理學","A1145 鈣試驗系統","輸　入 ",台灣羅氏醫療診斷設備股份有限公司,台北市中山區民權東路3段2號10樓,23932173,"ROCHE DIAGNOSTICS GMBH","SANDHOFER STRASSE 116 D-68305 MANNHEIM GERMANY",GERMANY,2012-10-15,"在cobas c 111 系統上, 對人類血清及血漿進行活體外鈣的定量檢測。",,,,
衛署醫器輸字第018959號,,,,2018-02-22,2008-02-22,醫　器,2,DHA00601895900,"羅氏可霸斯c 111白蛋白第2代檢驗試劑","cobas c 111 ALB2","A 臨床化學及臨床毒理學","A1035 白蛋白試驗系統","輸　入 ",台灣羅氏醫療診斷設備股份有限公司,台北市中山區民權東路3段2號10樓,23932173,"ROCHE DIAGNOSTICS GMBH","SANDHOFER STRASSE 116 D-68305 MANNHEIM GERMANY",GERMANY,2012-10-15,"在cobas c 111 系統上, 對人類血清及血漿進行活體白蛋白的定量檢測。",,,,
衛署醫器輸字第018962號,,,,2018-03-05,2008-03-05,醫　器,2,DHA00601896202,亞培設計師弓漿蟲IgG抗體檢驗試劑組,"ABBOTT ARCHITECT Toxo IgG","C 免疫學及微生物學裝置","C3175 巨細胞病毒血清試劑","輸　入 ",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT GMBH & CO.KG","MAX-PLANCK-RING 2, 65205 WIESBADEN, GERMANY",GERMANY,2014-08-04,"ARCHITECT Toxo IgG分析是一種化學冷光微粒免疫分析法(Chemiluminescent Microparticle Immunoassay；CMIA)，可用於定量測試人類血清及血漿中對抗弓漿蟲(Toxoplasma gondii)之IgG抗體。",,,,
衛署醫器輸字第018963號,,,,2018-03-05,2008-03-05,醫　器,2,DHA00601896301,偉廸尿液檢驗試紙,"YD URiSCAN Urine test strips","A 臨床化學及臨床毒理學","A1095 抗壞血酸試驗系統","輸　入 ",資研科技股份有限公司,台北市內湖區民權東路６段１６０號１０樓之３,12966409,"YD DIAGNOSTICS CORPORATION","#76,SEORI-RO,IDONG-MYEON,CHEOIN-GU, YONGIN-SI,GYEONGGI-DO,449-834, KOREA",KOREA,2013-03-14,測定下列一至多項尿液中之參數：紅血球、膽紅素、尿膽素原、酮體、蛋白質、亞硝酸、葡萄糖、酸鹼值、比重、白血球與抗壞血酸。,,,,
衛署醫器輸字第018964號,,,,2018-03-06,2008-03-06,醫　器,2,DHA00601896403,貝克曼庫爾特依敏濟高敏感度心臟C反應蛋白試劑,"BECKMAN COULTER IMMAGE High Sensitivity Cardiac C-Reactive Protein (CCRP) Reagent","C 免疫學及微生物學裝置","C5270 C反應蛋白免疫試驗系統","輸　入 ",美商貝克曼庫爾特有限公司台灣分公司,台北市大安區敦化南路二段216號8樓,09435364,"BECKMAN COULTER INC.","2470 FARADAY AVENUE, CARLSBAD, CA 92010, U.S.A.","UNITED STATES",2012-11-09,"配合IMMAGE免疫化學分析系統及校正液5Plus使用，以比濁法測定人類血清或血漿中的C-反應蛋白 (CRP)含量。",,,,
衛署醫器輸字第018965號,,,,2018-03-07,2008-03-07,醫　器,2,DHA00601896505,“帝富”適髓骨水泥,"“DePuy” SmartSet GMV Endurance Gentamicin Bone Cement","N 骨科用裝置",,"輸　入 ",壯生醫療器材股份有限公司,台北市大安區敦化南路二段319號6樓,16439055,"DEPUY INTERNATIONAL LTD.TRADING AS DEPUY CMW","CORNFORD ROAD, BLACKPOOL, LANCASHIRE, FY4 4QQ, ENGLAND, UNITED KINGDOM","UNITED KINGDOM",2014-07-10,"SmartSet GMV Gentamicin 抗生素骨水泥適用於人工關節感染施行二階段重建手術時之第二階段，且感染已在第一階段手術中清除。只有在其他操作無法成功治療，保全四肢的情況下，才能對兒童使用骨水泥。骨水泥應配合適當的人工植入物使用。",,,,
衛署醫器輸字第018966號,,,,2013-03-10,2008-03-10,醫　器,2,DHA00601896607,優泰克二濃度微量元素血清毒物學品管液套組,"UTAK BI-LEVEL TRACE ELEMENTS SERUM TOXICOLOGY CONTROL","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",杏全實業股份有限公司,台北市大安區瑞安街135巷11號1樓,20828062,"UTAK LABORATORIES, INC.","25020 AVENUE TIBBITTS VALENCIA, CA 91355, USA","UNITED STATES",2014-12-19,UTAK二濃度微量元素品管液是拿來當作血液中欲追蹤微量元素濃度的測定品管材料。它的用途是用在當作一個連續的基礎物質，以致有關試劑和分析儀器的偏差可以在統計基礎上被偵測出來。,,,,
衛署醫器輸字第018967號,,,,2013-03-10,2008-03-10,醫　器,2,DHA00601896709,優泰克全血毒物學品管液套組,"UTAK WHOLE BLOOD TOXICOLOGY CONTROL","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",杏全實業股份有限公司,台北市大安區瑞安街135巷11號1樓,20828062,"UTAK LABORATORIES, INC.","25020 AVENUE TIBBITTS VALENCIA, CA 91355, USA","UNITED STATES",2014-12-19,作為測量血液中金屬濃度之品管材料。,,,,
