,Q,A
160,關於乳癌，三陰性型乳癌治療的現況與進展,"隨著分子醫學與病理診斷的進步，乳癌已不再被視為一個單一的疾病。換言之，乳癌是一群長在乳房的惡性腫瘤的「集合名詞」，因為不同的乳癌類型，在臨床治療的選擇上就有許多極大的差異存在。

 

依據乳癌大量基因微距陣列分析的結果，乳癌可依據基因表現大分為管腔細胞 A 型、管腔細胞 B 型、HER2 陽性型及基底細胞型。然而，由於微距陣列分析運用於臨床仍多在研究階段，而 2011 年 以分析五十多個基因將乳癌病患分成四類的新產品 PAM 50 已經問世，但目前在台灣還不能做。故現階段而言，區分不同乳癌類型的分子標記仍是以動情素接受體（estrogen receptor，簡稱 ER）、黃體素接受體（progesterone receptor，簡稱 PR）及 HER2 接受體這三個標記為主。

 

而所謂三陰性型乳癌，即是指 ER 陰性、PR 陰性，及 HER2 也呈現陰性的腫瘤。這類腫瘤並不完全和基因分析所得的基底細胞型相同；大致上，約 75% 的三陰性型病患屬於基底細胞型，而同樣的，75% 的基底細胞型屬於三陰性型，因此三陰性型乳癌病患和基底細胞型乳癌有許多共同的特徵，也就導致這兩者常常相提並論。依據最近的研究結果，三陰性型病患中不屬於基底細胞型的病患在微距陣列基因分析也有特點，而目前被稱為 claudin-low 型，約佔三陰性型病患的 25%，而佔所有病患的 5~10%。

 

三陰性型乳癌有許多和其他類型乳癌不一樣的特點，包括：比較容易發生於小於 40 歲的病患、BRCA1 突變發生的機會較高（根據西方國家的資料，三陰性型的乳癌病患有 BRCA1 基因缺陷比例達 25%，而一般乳癌病患則為 2%）、乳癌細胞的分化常呈現高惡性，腋下淋巴結轉移的程度常與原發腫瘤的大小無關（意思是原發腫瘤雖可能很小，但卻可能已轉移至腋下淋巴結了），比較糟糕的問題是復發的機會較其他類型的乳癌為高，腦部轉移的比例也高，進而導致死亡率也較高；而三陰性型乳癌復發的風險在初次治療後的 1～3 年內為最高，顯著的較 ER 陽性之管腔細胞 A 型及 B 型為快，之後則明顯降低到與其他類型乳癌差不多的地步。屬 claudin-low 型的三陰性型病患臨床特徵則目前不明。

 

在治療考量的現實上，因為三陰性型乳癌既沒有 ER 及 PR，也沒有 HER2 接受體，所以病患對各類荷爾蒙治療藥物是無效的，抗 HER2 的藥物對這種乳癌當然也不會有效。所以目前治療三陰性乳癌的主幹為化學治療，而一些新型的標靶治療藥物則是未來的發展方向，至於手術與放射治療的部份則與其他類型的乳癌差異不大。

 

三陰性型乳癌的藥物治療可分成三個情況來考慮，
1. 未治療過、而局部腫瘤較大的早期乳癌病患可選用手術前化學治療；
2. 一般手術後的輔助性化學治療；
3. 復發或轉移時的化學治療。
就手術前化學治療而言，目前大多數的臨床研究發現，未治療過的三陰性型乳癌其實對手術前化學治療的效果（指腫瘤縮小的反應率）比其他類型的乳癌要好，特別是能達到病理完全反應（指在手術前化療後，腫瘤在手術後的病理標本完全消失不見）的病患比例更高；但在預後上，能在手術前化療後達到病理完全反應的病患預後非常好，但未能達到病理完全反應的病患，則預後相對較差，而且也持續其「本性」，預後比其他接受相同治療的其他類型的乳癌病患更差；復發及轉移高峰期在前 1 到 3 年之內。至於什麼是手術前化療最好的化療藥物及處方，目前認為包含小紅莓類藥物（doxorubicin、epirubicin 等）及合併紫杉醇類藥物（taxanes，即 docetacel 及 paclitaxel）的處方（可合併或接續使用），可達到比較高的病理完全反應的機會，進一步改善病患的預後，至於新的化療藥物及標靶治療藥物如何於手術前的化療中使用，則有待將來許許多多正在進行的臨床試驗證實，下文中也會提及這些對三陰性型乳癌有效的新藥。

 

在針對三陰性型乳癌的一般性手術後的輔助性化學治療方面，原則其實和手術前化療相似，目前認為包含小紅莓類藥物及紫杉醇類藥物的處方（一樣可合併或接續使用）可能是最起碼的使用藥物，然而什麼是最佳的輔助性化學治療處方，目前因為各項臨床試驗都尚在進行中而無定論。

 

在三陰性乳癌發生轉移的治療部份，小紅莓類藥物及紫杉醇類藥物雖然反應率可能還不錯，但這可能只限於在手術後輔助性化學治療未使用過這兩種藥物的病患；將來醫師面對的，常常是在手術後輔助性化療已使用過小紅莓類藥物及紫杉醇類藥物的病患。但剛剛提過三陰性型乳癌復發及轉移的高峰期在 1～3 年之內，而愈快復發的病患可以預期腫瘤細胞對小紅莓類藥物及紫杉醇類藥物產生抗藥性的機會愈高；而且，轉移性三陰性型乳癌的腫瘤雖然一開始對未曾接觸過的傳統化療藥物反應雖不差，但效果持續時間往往較短，也就是說腫瘤會很快產生抗藥性，而在對多種藥物無效之後，病患就很快面臨無藥可用及死亡的難關。因此，一些新的化療藥物及標靶藥物就被寄以重望，一方面希望多一些不同的藥物當作後線治療之用，更重要的是則是克服三陰性型乳癌本身「天生」的抗藥性機轉，提高反應率，延長治療有效的時間，進一步改善病患的存活。

 

至於目前被寄以厚望，有一些初步成果的藥物包括哪些呢？在化療藥物上，包括鉑化合物（platinum，如cisplatin、carboplatin、oxaliplatin 等），新的化療藥物 ixabepilone 等是可能比較有效的藥物。而在標靶治療的藥物上，則包括抗血管新生藥物 bevacizumab（Avastin 癌思停）、PARP-1 抑制劑（如 olaparib），及抗 EGFR 製劑（如 erlotinib、cetuximab 等）都是目前具有潛力的抗三陰性型乳癌藥物。當然，這些藥物要如何併入或取代傳統小紅莓類藥物及紫杉醇類藥物處方，不論是手術前化療、輔助性化療或是轉移性乳癌化療，目前都有許許多多的臨床試驗在如火如荼的進行中，值得期待。

 

站在醫師的立場，我們也鼓勵三陰性型乳癌的病患積極加入臨床試驗；一方面在現代醫學倫理及人權的保障下，進入臨床試驗的病患會在治療權益不受損害的情況下獲得最新的治療與嚴密的追蹤，另一方面也因為進入臨床試驗病患的貢獻，早日解開如何治療三陰性型乳癌之謎。

 "
161,"關於乳癌，外科手術
這是乳癌治療最重要的一部分，目的在於完全切除腫瘤和腋下淋巴結廓清，盡量排除淋巴結致癌細胞轉移，這是乳癌患者最重要的預後因子。整體來說分為兩種：乳房保留手術、乳房全切除手術。同時根據淋巴腺有無轉移，進行腋下淋巴廓清術或前哨淋巴結摘除術。
","淋巴系統的主要功能為大分子（脂肪、蛋白質、免疫物質、淋巴球）及水分的運送。由四肢遠端的淋巴管運輸到淋巴結，匯集後最後回流到心臟血管系統。當淋巴結經過手術摘除、放射線治療、或局部感染後，淋巴管受到破壞，因而容易造成淋巴液及蛋白質大量堆積在組織間隙，就產生了淋巴水腫。
有別於一般水腫，因淋巴液富含蛋白質，一旦堆積於皮下組織，很容易引起皮膚及膚下組織的硬化，甚至局部慢性發炎及感染，若早期發現，應儘早諮詢及尋求復健科醫師協助。（推薦閱讀：乳癌術後別怕「動手」　運動＋按摩防淋巴水腫）
"
162,關於乳癌，化學治療,"1. 開刀側上肢或胸背部腫脹（手肘上下10公分與術前或健側比相差2公分以上）。
2. 開刀側上肢皮膚及皮下組織摸起來變硬、變厚、變粗（將前臂或手背皮膚提起來厚度超過2毫米）。
淋巴水腫目前沒有可完全治癒的方法，復健治療的目標以減輕腫脹、維持治療效果、及預防併發症（蜂窩性組織炎、皮下組織纖維化）為主。對於長期服用利尿劑的患者，目前沒有實際療效的文獻證實。
"
163,關於乳癌，標靶治療,"一、皮膚照護：
良好的皮膚照顧是預防及治療淋巴水腫的第一步，可避免感染或發炎。為避免皮膚乾燥脫屑、龜裂或外傷（如蚊蟲傷或做家事需高溫烹飪時），可穿戴手套以保護皮膚，及塗抹弱酸性水溶性乳液保持保濕狀態。平時也應避免高溫日曬、浸泡三溫暖或溫泉等，避免血管擴張增加淋巴水腫的生成，又若穿緊身衣物，也會影響淋巴液的回流而加重淋巴水腫。
二、徒手淋巴引流：
使用特殊的手法，用膚感的輕柔力道促使皮膚淺層的初始淋巴管吸收囤積在患肢的淋巴液，將引導向仍有功能的淋巴系統區域，以達減輕腫脹效果。
淋巴引流原則：(1) 先開通腫脹肢體近端且正常的淋巴結及吻合管（頸部與健側腋下），增強及加速淋巴血管收縮的功能，並把該處的淋巴液先排空 →(2) 清空軀幹區域的淋巴液 → (3) 清空近端患肢淋巴液，再逐漸向遠端清空患肢淋巴液 → (4) 最後重複清空胸部軀幹至正常的淋巴結。初期需先向受過訓練的醫療人員學習，後續的維持可居家自我引流。（推薦閱讀：乳癌淋巴水腫　加入這個油最有效）

三、壓力治療：
堆積久的淋巴液容易損壞皮下組織的結構，所以需要用外部加壓來支撐缺乏纖維彈性的組織，同時可軟化皮下的纖維組織以及防止體液的回流。在第一階段的消腫期利用低彈力繃帶以增加組織壓力、減少淋巴液的產生、促進回流，應配合專業徒手淋巴引流後使用。（注意：低壓繃帶與與壓力袖套等產品健保皆不給付，購買前建議先詢問醫師。）穿戴的時間，除了洗澡外，儘量全天使用效果最佳，但仍以自己能適應的為主，夏天期間也要考量避免皮膚發癢、出疹，或過於影響生活品質。過了第一階段的消腫期要進入第二階段的維持期後，白天可以換成壓力袖套，晚上仍舊綁繃帶。
四、治療性運動：
穿戴低壓力繃帶若再加上運動時肌肉的收縮，由於肌肉與繃帶互相擠壓，可促進淋巴的回流。
五、循環加壓器：
當皮下纖維化的組織透過低壓繃帶軟化了，以及受阻礙的淋巴區的出路透過徒手淋巴引流打通後，可利用循環加壓器進行輔助治療，幫助移除組織中的淋巴水份。但做完循環加壓器後仍需穿戴低壓繃帶或壓力袖套維持治療成效。
"
164,關於乳癌，荷爾蒙治療,"服食荷爾蒙藥期間若懷孕，會增加畸胎的風險；但等到完成治療後，年紀已漸長，生育能力亦將下降。
至於需要化療的病人，因化療藥令經期紊亂，即使之後經期回復正常，卵巢的排卵能力會下降，所以會在化療前取出自己的卵子，體外人工受精(IVF)，再把胚胎儲存。但由於醫護人員需要與病人作較長時間商討，籌備過程需時，或對化療造成延誤。
到底乳癌康復者是否適合生育?最好是諮詢醫生意見，評估乳癌的復發風險。假如自己沒有健康的身體，又怎能照顧好孩子呢!
"
165,關於乳癌，免疫治療,"根據世界衛生組織的定義，骨質疏鬆症是一種骨骼疾病，患者的骨量減少，較容易骨折。正常骨骼的節構比較緊實，而骨質疏鬆症患者的骨骼節構比較空洞。
人體內有兩種細胞與骨骼的代謝有關，一種稱為蝕骨細胞，另一種是成骨細胞。蝕骨細胞與骨質再吸收有關，會破壞老化骨骼，讓老化骨骼重新被人體吸收，而成骨細胞能生成新的骨骼。當這兩種細胞維持平衡狀態時，人體骨骼可以正常代謝，保持健康。但是，如果因為老化，或賀爾蒙變化等因素，導致蝕骨細胞的活性大於成骨細胞活性的時候，就會引起骨質疏鬆症。
影響成骨細胞及蝕骨細胞的因素包括年齡及賀爾蒙。年紀輕時，成骨細胞的活性大於蝕骨細胞，骨頭生長能力強。到 35 歲左右，兩者的活性相當。但過了 35 歲，成骨細胞的活性逐漸下降，骨直流失的速度比骨直新生的速度快，使骨密度逐漸降低。如果又因為更年期停經或乳癌治療等因素，使得雌激素降低，更會加速骨質流失，提高骨質疏鬆症的風險。
骨質可以藉由儀器掃描髖骨與腰椎進行骨密度分析。檢查值以T值表示，正常T值應該大於 -1。如果小於 -2.5，就代表罹患骨質疏鬆症。
一般而言，骨質疏鬆的檢測並不是例行性的檢查，但如果是骨質疏鬆症高風險的患者，建議接受檢查。
骨質疏鬆症高風險族群
骨質疏鬆症高風險患者首先就是停經婦女。由於停經婦女，體內因為賀爾蒙改變的關係，骨質流失速率較快。再來就是曾經接受賀爾蒙阻斷劑治療的乳癌患者，骨質流失速率也較快。最後則是癌症患者如果有轉移到骨頭的情況，骨折發生機率也比較高。
骨質疏鬆症與體內的賀爾蒙有關。而乳癌患者接受的治療中，賀爾蒙治療與化學治療都是關鍵。化學治療或賀爾蒙治療藥物，都會影響體內的賀爾蒙。進而加速骨直流失。提高骨直疏鬆症風險。因此身為乳癌患者，一定要留意自己的骨骼健康。
骨質疏鬆症預防
乳癌患者雖然是骨質疏鬆症的高風險族群，但不是所有乳癌患者都會發生骨質疏鬆症。最重要的是，骨質疏鬆症是可以預防的。根據台灣骨質疏鬆學會的建議，預防骨質疏鬆症的第一步就是補充適量的鈣質維生素 D。
骨質疏鬆症治療
原則上建議每人每天應該要補充元素鈣一千兩百毫克，維他命 D 八百國際單位。只要是骨質疏鬆症的高風險族群，都可以補充鈣片來確保鈣質補充量。
一般而言，每個人每天可以從飲食中攝取鈣五百毫克及維他命 D 三百國際單位。由於每個人每天的飲食都不同，鈣及維他命 D 的攝取量多少有些差異，建議可以諮詢營養師，討論每天的飲食內容後，再看看還需要補充多少鈣片。
最後，鈣片並不是吃越多越好，攝取過多的鈣片可能會增加高血鈣症，或是提高腎結石的風險。鈣片的攝取原則為一次一錠，每天服用兩到三次，飯後嚼碎服用。除了透過飲食或藥物補充鈣片外，規律運動就是健走、慢跑、爬樓梯等運動，配合適度的曬太陽不但可以強健肌肉，還能增加骨質密度，降低骨折的風險。
"
166,關於乳癌，化學治療,"因為治療的緣故，乳癌患者較大機會出現骨質疏鬆。若要減低風險，可從飲食、運動、戒煙酒等多方面入手。
飲食方面，除了從脫脂奶製品或小魚乾、小蝦米等攝取足夠鈣質外，維他命D亦不可少。維他命D可幫助吸收鈣質，衞生署建議每星期讓柔和的陽光曬臉及手兩至三次，每次約半小時，便能令皮膚製造足夠的維他命D。此外，吃太多高鹽的食物，如火腿、肉腸及即食麵等，又或喝含咖啡因的飲品，都會令鈣失掉，最好避免。咖啡因飲品不限於咖啡或濃茶，還有含咖啡因的汽水及運動飲品。台灣的財團法人台灣癌症臨床研究發展基金會亦指出，富含草酸的食物，像菠菜、扁豆、花生及朱古力等，應避免與富含鈣的食物一起進食，以免影響吸收。
有些病友患病後開始茹素，她們可選擇蛋奶素或奶素，以免因大量進食纖維質（一天不宜超過50克）而妨礙鈣及鐵等礦物質吸收，間接影響骨質密度，增加骨質疏鬆的風險。素食者選擇的食物更要多樣化，例如多吃富含鈣質的豆製品及深綠色蔬菜。
飲食之外，運動也是強化骨骼的重要一環，原因是骨細胞需要受運動的刺激，才能好好地自我增生，亦能更好地吸收所攝入的鈣質及其他有利骨骼健康的礦物質。根據美國National Osteoporosis Foundation的資料，兩大類運動可以健骨護骨：負重運動及肌肉強化運動。
負重運動是指可抗衡地深吸力的運動，又分為高撞擊力及低撞擊力兩類。前者包括跳舞、遠足、緩步跑、爬樓梯及網球等；後者包括踏樓梯機，急步行，太極等運動。如果曾因骨質疏鬆而骨折，又或有骨折的風險，應選擇低撞擊力的負重運動。肌肉強化運動又稱阻力訓練，即採用不同工具輔助做舉起或拉動等動作，這些工具包括彈力帶、健身及舉重器械等。
全部切除還是局部切除?
"
167,關於乳癌，雙重標靶藥物開發,"迷思一: 有國家品質保證標章的健康食品具有神奇療效?
健康食品與保健食品的最大差別，就是有小綠人標章的食品叫做健康食品。 保健食品並無小綠人標章，泛指一般食品，不能標示有保健功效，例如維他命或礦物質等食品。而健康食品指具有保健如增進民眾健康、減少疾病危害之功效，這兩者均不可宣稱有治療人類疾病，例如抗癌，治療B型或C型肝炎等之醫療作用。因此根據法規 「健康食品若是宣稱具療效」就是不實的廣告。而國家品質標章 (SNQ, Symbol of National Quality)，也代表品質保證與使用安全的意思。保健食品、健康食品與國家品質標章的審查，都是以產品由原料、半成品、到成品的製作過程中品質檢測及上市後對消費者的保護，皆符合國家的要求。因此國家審查的範圍包括產品特色、實用效益、品質管制、安全與衛生為主要範疇，重要的是並沒有審查有沒有治療疾病的功效，因為這部份是要納入藥品的審查範圍，而藥品的療效是必須經過嚴格的臨床試驗才能斷定的。
那很多病友都說 :「那廠商或是傳說中都說這健康食品有抗癌作用，他們怎麼還可以說有療效?」 這關鍵在於廠商申請認證的時候，完全符合國家審查的機制，但是一旦通過之後，經過大力「避重就輕」的宣傳及許多人的「以訛傳訛」，就成為真的有治療疾病作用了。所謂的「避重就輕」就是提出比較誇張宣染的宣傳，而避開提供國家審查時的證據。舉例來說，某家廠商提出該產品有「護肝」作用研究報告，可減少肝臟損傷的程度 (降低ALT, AST等)。其實該產品在送審的時候只是提出「針對化學性傷害的肝損傷有保護作用」的報告，而台灣地區的肝病大多是B型或C型肝炎而很少是化學性傷害導致的肝炎。嚴格來說，這是不科學且不恰當的結論。
事實: 有國家品質保證標章的健康食品是不能宣稱有神奇療效的。
迷思二: 天然ㄟ尚好，天然的食品一定很安全 ?
「醫師，我得乳癌，聽說不能喝豆漿，也不能吃山藥，這個不能吃，那個不能喝，那我到底能吃甚麼?」，這是許多乳癌病友很關心的切身問題。許多例如山藥，大豆，月見草等天然植物，其內含有植物性女性荷爾蒙，長期食用會影響乳房的疾病。其實，如果屬於食品類的食物，例如有些女性自己打豆漿喝，只要一天一小杯，其植物性賀爾蒙吸收劑量應該不會影響乳房疾病的。但是有些婦女會自行將一周份的豆漿打好，可是又擔心豆漿放久了會壞掉，所以一天喝兩杯 500 cc，如此一來，時間久了就容易造成乳房疾病的產生。反之，經常服用植物的萃取物(如膠囊或藥片)，其吸收成分比例會增高，可能會刺激乳癌細胞的增生。因此，一般飲食如服用天天少量豆漿或偶而吃一頓山藥排骨的餐點，應該不會有問題。但是不要天天食用，尤其是不要經常服用經過萃取 (膠囊或藥片) 的植物性藥物或健康食品。
事實: 天然ㄟ尚好，是指吃天然而非人工添加的食品。有一句話“食物天天吃就是藥物，藥物天天吃就是毒物”就是對「藥食同源」這句話最好的註解。
迷思三: 市面上 「X芝健康食品」，有增加免疫力，還有抗癌的作用?
以市面上「X芝健康食品」為例，其成分中含有多醣體，具宣稱有促進免疫的作用。可是其申請國家健康食品審查時，是以「護肝」作用而且針對化學性傷害的肝損傷有保護作用。甚至在注意事項中提出「本產品不能治療矯正任何疾病，有病者仍需就醫」的標示。這種增加免疫力及抗癌作用的宣稱，不知從何而來。
「免疫力真的能夠天天促進嗎 ?」我們真的需要天天吃健康食品來加強免疫力嗎?根據動物研究顯示，多醣體在短時間給予是會促進免疫細胞的基因表現，但是若是長期使用，則原本促進的作用，會變成抑制的作用，這就是所謂的免疫適應。
事實: 人類的免疫是存在面對外來物質(抗原)，在體內所產生的防禦系統。B型肝炎疫苗就是針對人類的免疫系統設計的，因此不可能天天吃多醣體來促進免疫的，就像疫苗幾個月甚至一年才接種一次一樣」。
"
168,關於乳癌，運用基因檢測 更精準分類治療,"1.終身都能達到並維持健康的體重：保持體重在健康範圍內，避免成年後體重增加。
2.建議積極運動
成人每星期應進行150-300分鐘的中等強度運動或75-150分鐘的激烈運動，或是相等運動量之兩者組合，達到或超過300分鐘為佳。
兒童和青少年每天應至少1小時的中等強度或激烈運動。
限制靜態行為習慣，例如坐著、躺著、看電視以及其他觀看螢幕的娛樂，如手機、電腦等。
3.不論任何年齡都應遵循健康的飲食型態
健康的飲食型態包括：選擇營養素含量高的食物，達到並保持健康的體重；各種類型蔬菜-深綠色、紅色和橙色，富含纖維的豆類等；各種顏色的完整水果和全穀類。
健康的飲食習慣應限制紅肉和加工肉品、含糖飲料、過度加工的食品和精製穀類。
4.最好不要喝酒
若飲酒應限制女性每天飲酒不超過1份酒精當量，男性每天不超過2份。(1份酒精當量約為啤酒350cc，水果酒120-150cc，白蘭地40cc或高粱酒30cc)
政府機關應負責倡導並實施良好的政策，使人民能負擔購買營養食物的能力，提供安全方便的運動機會，並且鼓勵所有人少喝酒。
世界癌症研究基金會與美國癌症研究所（WCRF / AICR）建議保持體重在健康範圍，是指身體質量指數(body mass index，BMI)不超過25，世界衛生組織WHO對成年人定義BMI 25.0-29.9 kg / m2為過重，BMI≥30 kg / m2為肥胖，並進一步區分1級肥胖症（BMI，30.0-34.9 kg / m2），2級肥胖症（BMI，35.0-39.9 kg / m2）和3級肥胖症（BMI，≥40.0kg / m2）。同時針對所有癌別，均建議選擇富含膳食纖維的飲食，如「地中海式飲食」及「得舒飲食」，可降低罹癌風險，飲食份量建議：每天至少2.5-3碗蔬菜與1.5-2碗的水果；每天攝取30公克全穀類可以減少結腸直腸癌風險5%，此外鼓勵減少紅肉及其加工品，勿過量攝取精製糖，建議控制少於每日所需總熱量的10%以下，如2000大卡飲食，不可超過200大卡，即50公克糖。此外有氧運動可以減少體脂肪，故對防癌有益，而靜態生活習慣則有害。
由以上敘述可知，要降低罹癌風險，必須在飲食與運動部分積極努力，除了遵從正確的飲食型態之外，在運動的時間和強度方面，要求甚至超過以往，並不容易達到，因此切勿沉溺於3C產品，應摒棄靜態生活習慣，時時刻意活動，盡可能少喝酒或不喝酒，以遠離癌症的威脅。
"
169,關於乳癌，乳癌手術後為何還會淋巴結轉移？,腋下原有許多淋巴結，乳癌的腋下淋巴結廓清手術時只清除第一、二區的淋巴結，第三區以上的淋巴結，是不做處理的，往後有可能再復發轉移。病人平時要仔細觸摸。若有不正常硬塊，固定且持續存在，要趕快就醫，若是不正常組織，用影像學檢查，會發現和正常的淋巴結不一樣。
170,關於乳癌，認識乳癌骨轉移,"癌症骨轉移與骨癌的不同，骨瘤可以分為良性、低度惡性與高度惡性三種，但是最嚴重的仍為其它器官的癌細胞轉移至骨頭，造成骨骼出現腫瘤，稱為癌症骨轉移或轉移性骨癌。

 

造成癌症骨轉移的原因與症狀
一般癌症骨轉移好發的年齡層在成人階段（45 歲以上），常見的發生部位以脊椎骨和骨盆居多。由於骨骼是僅次於肺臟及肝臟易被癌細胞轉移的器官，因此，大多數癌症都有可能造成癌症的骨轉移，其中又以乳癌、肺癌、攝護腺癌等為最常見。若是癌症造成骨頭中的蝕骨細胞活化，而進一步破壞骨頭引起骨折、疼痛等症狀，則屬於蝕骨性骨頭轉移。

 

癌症骨轉移的惡化程度相當高，一般所知的症狀與其它骨癌相似，如患處疼痛，關節與肢體有局部硬塊及腫脹；如果腫瘤已經壓迫到神經或血管，患處肢體遠端還會有麻木感；此外容易發生病理性骨折或變形；有時骨痛痛楚難忍，尤其是在夜晚的時候。所以當有骨頭疼痛的症狀時，千萬不要掉以輕心。

 

骨損傷診斷方式
<放射學檢查>

骨骼同位素掃描：可用以評估有無骨骼轉移、骨腫瘤活性與軟組織是否侵犯骨骼，在轉移性骨癌的診斷上非常重要。
X 光片攝影：可用以判斷骨腫瘤的發生部位、轉移帶大小、骨骼受損的程度與情形等，作為初步診斷參考。
電腦斷層掃描與核磁共振掃描檢查：兩者類似，分別可作橫斷面與縱向面的檢查，屬於較新的發展。
骨生檢取樣檢查：即病理切片檢查，用以確立骨腫瘤診斷的依據，有助於決定是否採取其它輔助治療。
 

<實驗室檢查>

抽血檢驗：用以評估身體的狀況，並檢查血液中的鈣質或鹼性磷酸酶（alkaline phosphatase） 含量，以判別骨頭代謝是否正常。血液檢查是否發現有高血鈣症。
 

治療方法
治療癌症骨轉移骨損傷的方法，必須先了解造成轉移的原發性癌症是何種類型，再針對原發性癌症作治療；換言之就是以殺死癌細胞，同時並減輕癌症所引起的疼痛為治療考量。骨頭因為癌細胞的入侵，會變的非常脆弱，且支撐力量會減低，容易造成骨頭變形，病理性骨折有時需要開刀接受固定治療其他治療簡述如下：

 

雙磷酸鹽類藥物（bisphosphonates，如zoledronic acid）：這類藥物可以抑制蝕骨細胞的活性，減緩因癌症骨轉移以及多發性骨髓癌所造成的骨骼破壞，避免骨頭疼痛與骨折。

Zoledronic acid 使用方法：每三至四週以 15 分鐘的靜脈輸注方式給藥，並同時給予病患每日 500 mg 口服鈣質補充劑及 400 IU 的維生素 D。
Zoledronic acid 副作用：如同其它雙磷酸鹽類藥物，zoledronic acid 在病人靜脈輸注後也會有類似流行性感冒之症狀，如骨頭痠痛、發燒、疲勞和寒顫，也有約3% 的病人偶有關節和肌肉痛的症狀，但這些副作用多是輕微與暫時性的。
Zoledronic acid 注意事項：治療前應先評估是否保持水分充足；治療後應監測如血清鈣、磷酸鹽、鎂離子濃度及血清肌酸酐濃度等的標準高血鈣相關代謝參數。此外，尚必須監測腎功能，對所有發生腎功能惡化的骨轉移病人應停止給藥。
放射線治療：此主要是以高能量射線消滅癌細胞，適用於針對局部疼痛治療。但是由於放射線也會導致周圍正常細胞受損，因此不適合長期或多次治療。

化學治療：利用強效的化學藥物以殺死癌細胞，斷絕癌細胞的擴散，避免癌症骨轉移。但是如同放射線治療的影響一樣，化學治療也會造成某些正常細胞的傷害。

荷爾蒙藥物治療

 

Zoledronic acid 常見不良反應與處理方式
Zoledronic acid 是癌症骨轉移與多發性骨髓癌骨損傷常用的雙磷酸鹽類藥物，也是美國臨床癌症學會（ASCO）與美國國家衛生研究院（NCCN）對乳癌、多發性骨髓癌與攝護腺癌的建議治療藥物。

 

任何癌症用藥都可能有不良反應發生，但是 zoledronic acid 的不良反應通常為輕微的和暫時性的，類似於其它雙磷酸鹽化合物所導致的不良反應，包括類似流行性感冒的症狀（如骨頭痠疼、發燒、疲勞和寒顫）；也有報告指出，約有 3% 的病人會偶發關節痛和肌肉痛的症狀；血清磷酸鹽濃度降低；腸胃道方面產生包括噁心、嘔吐、食慾缺乏的不良反應；貧血；結膜炎；腎臟損傷等。

 

病患自我評估
有以下症狀時需求診排除癌症骨轉移可能性。包含出現和其它癌症患者類似的一般症狀如食慾減低、體重減輕、發燒等。而骨痛是癌症骨轉移最典型的症狀，有骨頭的疼痛加劇，而且愈來愈頻繁，在某個部位有連續性的疼痛骨痛，在晚間或躺臥時更為厲害，活動會使骨痛加劇等特點。而如果有發生皮膚潰爛，關節或肢體有局部硬塊或腫脹關節或肢體的行動受到限制肢體遠端因為神經受到壓迫而有麻木感，上述症狀有更加嚴重的情形請立即與您的主治醫師聯絡。"
171,關於乳癌，乳癌骨轉移與雙磷酸鹽類藥物,"骨骼系統是乳房、攝護腺、肺臟、和腎臟癌症患者的常見轉移部位之一。高達 70% 乳癌患者，及 40% 其他惡性腫瘤患者可能發生骨骼系統的轉移。隨著腫瘤治療進步，患者生命延長的同時，如何維持病患的生活品質，維護生活自主及免於疼痛是一個日趨重要的治療目標。

 

乳癌的轉移
當癌症病情進入轉移階段，癌細胞就會擴散到身體其他的重要器官組織。大部分癌症的死亡是由於癌細胞轉移至肺臟、肝臟、骨骼與腦部等器官所引起，而根據統計，乳癌經常轉移的器官是骨骼、肺臟、肝臟與腦部。
過去認為癌細胞要在原發病灶長到一定之大小（有如種子在土壤中長大），才會隨著淋巴循環或血液循環，蔓延到局部淋巴結或身體之其他部位，然而事實上有百分之二十至三十之乳癌病人，在還沒有淋巴轉移時，癌細胞已經有轉移到其它組織了，原因在於微小的乳癌細胞會透過血液的路徑漂流到其它遠端適合停留的器官，待時機成熟就會開始萌芽長大。這種轉移的過程猶如「種子與土壤」的關係一般。腫瘤週邊由於血管新生作用產生大量微血管以吸收養分，這類微血管屬於糜爛型，種子癌細胞較易於通過。癌細胞會藉由入侵周遭微血管，進入血液，來到身體中其他器官部位停留，等待器官組織微環境適合癌細胞生長時就再次鑽過微血管，進入器官的組織中潛伏。這時的癌細胞稱之為「微小轉移」。此時器官的微觀環境就如同土壤，環境適合時癌細胞會利用器官細胞所分泌的酵素作為養分，進而鬆弛組織的細胞結構，讓種子癌細胞得以鳩佔鵲巢。轉移之腫瘤增殖長大後會在附近用同樣手法形成更多之轉移之病灶，所以在臨床上發現遠處之器官轉移，往往是多發性病灶。骨骼就是的乳癌細胞最常轉移潛伏的器官; 乳癌細胞一旦入侵骨骼後，會刺激蝕骨細胞，加速骨骼的分解並破壞骨骼結構以從中獲利，導致骨轉移的病患常發生骨痛、骨折、或脊髓壓迫等症狀而導致生活品質急遽下降。"
